Player,Draft_Year,Draft_Pick,VORP
Alonzo Mourning,1992,2,24
Christian Laettner,1992,3,23.2
Jim Jackson,1992,4,9.6
LaPhonso Ellis,1992,5,7.1
Tom Gugliotta,1992,6,18.7
Walt Williams,1992,7,12.4
Todd Day,1992,8,2.8
Clarence Weatherspoon,1992,9,13.4
Adam Keefe,1992,10,4.9
Robert Horry,1992,11,32
Harold Miner,1992,12,-2
Bryant Stith,1992,13,5.8
Malik Sealy,1992,14,1.7
Anthony Peeler,1992,15,6.1
Randy Woods,1992,16,-0.4
Doug Christie,1992,17,25.4
Tracy Murray,1992,18,1.4
Don MacLean,1992,19,-2.9
Hubert Davis,1992,20,0.7
Jon Barry,1992,21,9.8
Oliver Miller,1992,22,10.9
Lee Mayberry,1992,23,-6.6
Latrell Sprewell,1992,24,21.7
Elmore Spencer,1992,25,-1.4
Dave Johnson,1992,26,-20
Byron Houston,1992,27,-0.3
Marlon Maxey,1992,28,-0.5
P.J. Brown,1992,29,28.6
Sean Rooks,1992,30,-2.7
Reggie Smith,1992,31,-20
Brent Price,1992,32,1.6
Corey Williams,1992,33,-20
Chris Smith,1992,34,-2.5
Tony Bennett,1992,35,-0.9
Duane Cooper,1992,36,-20
Isaiah Morris,1992,37,-20
Elmer Bennett,1992,38,-20
Litterial Green,1992,39,-0.8
Steve Rogers,1992,40,-20
Popeye Jones,1992,41,2.8
Matt Geiger,1992,42,1.6
Sasha Danilovic,1992,43,0.7
Henry Williams,1992,44,-20
Chris King,1992,45,-0.4
Robert Werdann,1992,46,-20
Darren Morningstar,1992,47,-20
Brian Davis,1992,48,-20
Ron Ellis,1992,49,-20
Matt Fish,1992,50,-20
Tim Burroughs,1992,51,-20
Matt Steigenga,1992,52,-20
Curtis Blair,1992,53,-20
Brett Roberts,1992,54,-20
Chris Webber,1993,1,45.9
Shawn Bradley,1993,2,12.3
Anfernee Hardaway,1993,3,27.2
Jamal Mashburn,1993,4,12.9
Isaiah Rider,1993,5,3.6
Calbert Cheaney,1993,6,-0.7
Bobby Hurley,1993,7,-5.8
Vin Baker,1993,8,10.4
Rodney Rogers,1993,9,13.8
Lindsey Hunter,1993,10,9.5
Allan Houston,1993,11,9.9
George Lynch,1993,12,11.5
Terry Dehere,1993,13,-2.6
Scott Haskin,1993,14,-20
Doug Edwards,1993,15,-20
Rex Walters,1993,16,-1.5
Greg Graham,1993,17,-1.6
Luther Wright,1993,18,-20
Acie Earl,1993,19,-3.1
Scott Burrell,1993,20,6.1
James Robinson,1993,21,-1.2
Chris Mills,1993,22,8.8
Ervin Johnson,1993,23,8.7
Sam Cassell,1993,24,25.4
Corie Blount,1993,25,2.4
Geert Hammink,1993,26,-20
Malcolm Mackey,1993,27,-20
Lucious Harris,1993,28,0.5
Sherron Mills,1993,29,-20
Gheorghe Muresan,1993,30,2.5
Evers Burns,1993,31,-20
Alphonso Ford,1993,32,-20
Eric Riley,1993,33,-0.5
Darnell Mee,1993,34,-20
Ed Stokes,1993,35,-20
John Best,1993,36,-20
Nick Van Exel,1993,37,11.4
Conrad McRae,1993,38,-20
Thomas Hill,1993,39,-20
Rich Manning,1993,40,-20
Anthony Reed,1993,41,-20
Adonis Jordan,1993,42,-20
Josh Grant,1993,43,-20
Alex Holcombe,1993,44,-20
Bryon Russell,1993,45,18.5
Richard Petruska,1993,46,-20
Chris Whitney,1993,47,2
Kevin Thompson,1993,48,-20
Mark Buford,1993,49,-20
Marcelo Nicola,1993,50,-20
Spencer Dunkley,1993,51,-20
Mike Peplowski,1993,52,-20
Leonard White,1993,53,-20
Byron Wilson,1993,54,-20
Glenn Robinson,1994,1,10.3
Jason Kidd,1994,2,78.2
Grant Hill,1994,3,42.5
Donyell Marshall,1994,4,19.1
Juwan Howard,1994,5,10.1
Sharone Wright,1994,6,-4.1
Lamond Murray,1994,7,1.4
