symbol,company,price,change,direction
MSFT,Microsoft,28.77,-0.1,down,
AMZN,Amazon,128.82,-1.29,down,
IBM,IBM,125.55,-0.86,down,
AAPL,Apple Inc,223.02,+1.02,up
