Date,Mobile Operating System,Percent of Usage
7/1/09,WinCE,1.42
7/1/09,Nintendo 3DS,0
7/1/09,Nintendo,0.08
7/1/09,webOS,0.08
7/1/09,WinXP,0
7/1/09,Brew,0
7/1/09,Motorola,0
7/1/09,Win7,0
7/1/09,MeeGo,0
7/1/09,Maemo 5,0
7/1/09,WinVista,0
7/1/09,Other,0.79
8/1/09,Android,2.28
8/1/09,iOS,33.91
8/1/09,SymbianOS,34.06
8/1/09,Series 40,0
8/1/09,BlackBerry OS,8.86
8/1/09,Samsung,1.76
8/1/09,Unknown,6.14
8/1/09,Windows Phone,0
8/1/09,Sony Ericsson,6.93
8/1/09,Linux,0
8/1/09,bada,0
8/1/09,Nokia Unknown,0
8/1/09,LG,0.34
8/1/09,Playstation,2.15
8/1/09,WinCE,2.21
8/1/09,Nintendo 3DS,0
8/1/09,Nintendo,0.32
8/1/09,webOS,0.37
8/1/09,WinXP,0
8/1/09,Brew,0
8/1/09,Motorola,0.03
8/1/09,Win7,0
8/1/09,MeeGo,0
8/1/09,Maemo 5,0
8/1/09,WinVista,0
8/1/09,Other,0.64
9/1/09,Android,2.32
9/1/09,iOS,31.13
9/1/09,SymbianOS,36.29
9/1/09,Series 40,0
9/1/09,BlackBerry OS,8.92
9/1/09,Samsung,1.94
9/1/09,Unknown,7.12
9/1/09,Windows Phone,0
9/1/09,Sony Ericsson,6.79
9/1/09,Linux,0
9/1/09,bada,0
9/1/09,Nokia Unknown,0
9/1/09,LG,0.34
9/1/09,Playstation,1.74
9/1/09,WinCE,2.1
9/1/09,Nintendo 3DS,0
9/1/09,Nintendo,0.27
9/1/09,webOS,0.4
9/1/09,WinXP,0
9/1/09,Brew,0
9/1/09,Motorola,0.02
9/1/09,Win7,0
9/1/09,MeeGo,0
9/1/09,Maemo 5,0
9/1/09,WinVista,0
9/1/09,Other,0.62
10/1/09,Android,2.56
10/1/09,iOS,30.5
10/1/09,SymbianOS,38.17
10/1/09,Series 40,0
10/1/09,BlackBerry OS,9.16
10/1/09,Samsung,1.88
10/1/09,Unknown,6.23
10/1/09,Windows Phone,0
10/1/09,Sony Ericsson,6.72
10/1/09,Linux,0
10/1/09,bada,0
10/1/09,Nokia Unknown,0
10/1/09,LG,0.28
10/1/09,Playstation,1.55
10/1/09,WinCE,1.66
10/1/09,Nintendo 3DS,0
10/1/09,Nintendo,0.25
10/1/09,webOS,0.51
10/1/09,WinXP,0
10/1/09,Brew,0
10/1/09,Motorola,0.02
10/1/09,Win7,0
10/1/09,MeeGo,0
10/1/09,Maemo 5,0
10/1/09,WinVista,0
10/1/09,Other,0.52
11/1/09,Android,3.31
11/1/09,iOS,31.56
11/1/09,SymbianOS,36.17
11/1/09,Series 40,0
11/1/09,BlackBerry OS,9.73
11/1/09,Samsung,1.85
11/1/09,Unknown,5.93
11/1/09,Windows Phone,0
11/1/09,Sony Ericsson,7.03
11/1/09,Linux,0
11/1/09,bada,0
11/1/09,Nokia Unknown,0
11/1/09,LG,0.28
11/1/09,Playstation,1.58
11/1/09,WinCE,1.38
11/1/09,Nintendo 3DS,0
11/1/09,Nintendo,0.24
11/1/09,webOS,0.47
11/1/09,WinXP,0
11/1/09,Brew,0
11/1/09,Motorola,0.01
11/1/09,Win7,0
11/1/09,MeeGo,0
11/1/09,Maemo 5,0
11/1/09,WinVista,0
11/1/09,Other,0.46
12/1/09,Android,4.07
12/1/09,iOS,32.05
12/1/09,SymbianOS,35.05
12/1/09,Series 40,0
12/1/09,BlackBerry OS,9.69
12/1/09,Samsung,1.81
12/1/09,Unknown,6.05
12/1/09,Windows Phone,0
