Train,Direction,Type,Station,Time
314S,southbound,Bullet,San Jose,493
192S,southbound,Limited,San Francisco,1240
192S,southbound,Limited,22nd Street,1245
192S,southbound,Limited,Bayshore,1250
192S,southbound,Limited,So. San Francisco,1256
192S,southbound,Limited,San Bruno,1260
192S,southbound,Limited,Millbrae,1264
192S,southbound,Limited,Burlingame,1268
192S,southbound,Limited,San Mateo,1271
192S,southbound,Limited,Hayward Park,1274
192S,southbound,Limited,Hillsdale,1277
192S,southbound,Limited,Belmont,1280
192S,southbound,Limited,San Carlos,1283
192S,southbound,Limited,Redwood City,1288
192S,southbound,Limited,Menlo Park,1293
192S,southbound,Limited,Palo Alto,1296
192S,southbound,Limited,California Ave,1300
192S,southbound,Limited,San Antonio,1304
192S,southbound,Limited,Mountain View,1308
192S,southbound,Limited,Sunnyvale,1313
192S,southbound,Limited,Lawrence,1317
192S,southbound,Limited,Santa Clara,1322
192S,southbound,Limited,San Jose,1331
192S,southbound,Limited,Tamien,1338
382S,southbound,Bullet,San Francisco,1094
382S,southbound,Bullet,Millbrae,1110
382S,southbound,Bullet,Hillsdale,1118
382S,southbound,Bullet,Palo Alto,1129
382S,southbound,Bullet,Mountain View,1136
382S,southbound,Bullet,San Jose,1151
386S,southbound,Bullet,San Francisco,1113
386S,southbound,Bullet,Millbrae,1129
386S,southbound,Bullet,San Mateo,1137
386S,southbound,Bullet,Redwood City,1146
386S,southbound,Bullet,Palo Alto,1152
386S,southbound,Bullet,Sunnyvale,1161
386S,southbound,Bullet,San Jose,1172
386S,southbound,Bullet,Tamien,1179
