Country,GDP per capita,Life expectancy,Population,Continent,Life expectancy group
Tunisia,11126,77.6,11273661,Africa,above60
Poland,24787,77.6,37986412,Europe,above60
Slovak Republic,27204,77.6,5423801,Europe,above60
Croatia,20260,77.8,4203604,Europe,above60
Estonia,26812,77.8,1315407,Europe,above60
Nicaragua,4712,78,6082035,North America,above60
Albania,10620,78,2880703,Europe,above60
Colombia,12761,78,48228697,South America,above60
Panama,20485,78.2,3969249,North America,above60
Cuba,21291,78.2,11461432,North America,above60
Jordan,11752,78.5,9159302,Asia,above60
Puerto Rico,33604,78.5,3473181,North America,above60
Bermuda,47081,78.5,65250,North America,above60
Czech Republic,29437,78.8,10546059,Europe,above60
Bosnia and Herzegovina,9833,78.9,3535961,Europe,above60
Lebanon,17050,78.9,5851479,Asia,above60
Bahrain,44138,79.1,1371855,Asia,above60
United States,53354,79.1,320896618,North America,above60
Turkey,19360,79.2,78271472,Asia,above60
Chile,22465,79.4,17762681,South America,above60
Peru,11903,79.5,31376671,South America,above60
Taiwan,42948,79.5,23485755,Asia,above60
Saudi Arabia,52469,79.5,31557144,Asia,above60
Qatar,132877,79.7,2481539,Asia,above60
Maldives,14408,80,418403,Asia,above60
Costa Rica,14132,80.3,4807852,North America,above60
Kuwait,82633,80.3,3935794,Asia,above60
Denmark,43495,80.4,5683483,Europe,above60
Belgium,41240,80.5,11274196,Europe,above60
Portugal,26437,80.8,10358076,Europe,above60
Germany,44053,80.8,81686611,Europe,above60
Macao,148374,80.82,600942,Asia,above60
Slovenia,28550,80.9,2063531,Europe,above60
Finland,38923,80.9,5479531,Europe,above60
Greece,25430,81,10820883,Europe,above60
South Korea,34644,81,51014947,Asia,above60
United Kingdom,38225,81,65128861,Europe,above60
Austria,44401,81.3,8633169,Europe,above60
Netherlands,45784,81.3,16939923,Europe,above60
New Zealand,34186,81.4,4595700,Australia,above60
Canada,43294,81.7,35832513,North America,above60
Ireland,47758,81.7,4646554,Europe,above60
Cyprus,29797,81.8,1160985,Europe,above60
France,37599,81.8,66624068,Europe,above60
Norway,64304,82,5190239,Europe,above60
Singapore,80794,82,5535002,Asia,above60
Malta,30265,82.1,431874,Europe,above60
Israel,31590,82.1,8380100,Asia,above60
Sweden,44892,82.1,9799186,Europe,above60
Italy,33297,82.2,60730582,Europe,above60
Luxembourg,88314,82.2,569604,Europe,above60
Australia,44056,82.3,23850784,Australia,above60
Spain,32979,82.6,46444832,Europe,above60
Switzerland,56118,83,8282396,Europe,above60
Japan,36162,83.2,127141000,Asia,above60
Iceland,42182,83.3,330815,Europe,above60
Hong Kong,53874,83.73,7291300,Asia,above60
Andorra,46577,84.8,78014,Europe,above60
