I,J,Total,City
49,14,46,"LINCOLN, NE"
11,24,46,"FRAZIER PARK, CA"
47,20,46,"WICHITA, KS"
45,4,46,"JAMESTOWN, ND"
2,15,46,"HAYFORK, CA"
50,16,46,"SABETHA, KS"
58,18,46,"WARRENTON, MO"
65,23,46,"DICKSON, TN"
54,25,46,"MOUNT IDA, AR"
50,22,46,"TULSA, OK"
10,22,46,"TULARE, CA"
55,25,46,"HOT SPRINGS NATIONAL PARK, AR"
8,19,46,"TWAIN HARTE, CA"
47,6,46,"BRITTON, SD"
65,22,46,"CLARKSVILLE, TN"
75,18,45,"CHARLESTON, WV"
47,11,45,"SPRINGFIELD, SD"
31,30,45,"EL PASO, TX"
31,24,45,"ALBUQUERQUE, NM"
41,28,45,"POST, TX"
31,23,45,"CUBA, NM"
46,7,45,"REDFIELD, SD"
89,11,45,"ALBANY, NY"
6,6,45,"THE DALLES, OR"
38,32,45,"FORT STOCKTON, TX"
50,21,45,"INDEPENDENCE, KS"
47,7,45,"WEBSTER, SD"
70,17,45,"CINCINNATI, OH"
85,12,45,"BINGHAMTON, NY"
91,10,45,"RUTLAND, VT"
13,22,45,"BISHOP, CA"
44,2,45,"FORT TOTTEN, ND"
43,27,45,"KNOX CITY, TX"
32,30,45,"EL PASO, TX"
43,25,45,"WELLINGTON, TX"
46,9,45,"MITCHELL, SD"
32,24,45,"ALBUQUERQUE, NM"
47,9,45,"ALEXANDRIA, SD"
49,20,45,"EL DORADO, KS"
10,21,45,"EAST OF CLOVIS, CA"
10,20,45,"MAMMOTH LAKES, CA"
37,33,45,"ALPINE, TX"
71,18,45,"CINCINNATI, OH"
84,12,45,"ELMIRA, NY"
42,30,45,"ROBERT LEE, TX"
4,16,45,"RED BLUFF, CA"
61,29,45,"JACKSON, MS"
52,20,45,"PITTSBURG, KS"
34,28,45,"WEST OF ROSWELL, NM"
20,15,44,"TOOELE, UT"
50,20,44,"EUREKA, KS"
49,13,44,"FREMONT, NE"
16,20,44,"ALAMO, NV"
49,18,44,"JUNCTION CITY, KS"
75,16,44,"ZANESVILLE, OH"
44,27,44,"SEYMOUR, TX"
70,18,44,"CINCINNATI, OH"
41,30,44,"STERLING CITY, TX"
84,14,44,"WILLIAMSPORT, PA"
7,17,44,"AUBURN, CA"
45,9,44,"CHAMBERLAIN, SD"
26,29,44,"SAFFORD, AZ"
86,10,44,"ROME, NY"
42,29,44,"SWEETWATER, TX"
48,11,44,"YANKTON, SD"
46,4,44,"LITCHVILLE, ND"
26,30,44,"SIERRA VISTA, AZ"
75,17,44,"PARKERSBURG, WV"
87,12,44,"ONEONTA, NY"
48,12,44,"WAYNE, NE"
43,23,44,"ARNETT, OK"
35,27,44,"NORTH OF ROSWELL, NM"
46,12,44,"NELIGH, NE"
44,3,44,"BOWDON, ND"
47,10,44,"PARKSTON, SD"
51,20,44,"CHANUTE, KS"
90,10,44,"HUDSON FALLS, NY"
4,9,44,"OAKRIDGE, OR"
49,22,44,"CLEVELAND, OK"
88,9,44,"INDIAN LAKE, NY"
97,6,44,"GREENVILLE, ME"
65,24,44,"LAWRENCEBURG, TN"
14,21,44,"BEATTY, NV"
85,13,44,"TUNKHANNOCK, PA"
32,23,43,"SANTA FE, NM"
46,20,43,"HUTCHINSON, KS"
2,16,43,"LAYTONVILLE, CA"
7,16,43,"PORTOLA, CA"
8,2,43,"CHELAN, WA"
86,13,43,"SCRANTON, PA"
34,17,43,"LITTLETON, CO"
45,20,43,"PRATT, KS"
45,14,43,"KEARNEY, NE"
45,13,43,"ORD, NE"
45,12,43,"ONEILL, NE"
46,14,43,"GRAND ISLAND, NE"
44,26,43,"VERNON, TX"
44,25,43,"ALTUS, OK"
46,10,43,"LAKE ANDES, SD"
43,24,43,"SAYRE, OK"
51,17,43,"ATCHISON, KS"
51,19,43,"GARNETT, KS"
24,30,43,"TUCSON, AZ"
9,2,43,"COULEE CITY, WA"
46,13,43,"SPALDING, NE"
43,3,43,"WING, ND"
42,28,43,"JAYTON, TX"
24,29,43,"TUCSON, AZ"
9,4,43,"WARDEN, WA"
25,28,43,"SAN CARLOS, AZ"
9,1,43,"OMAK, WA"
84,13,43,"ATHENS, PA"
92,11,43,"KEENE, NH"
46,8,43,"HURON, SD"
91,8,43,"MONTPELIER, VT"
27,30,43,"ANIMAS, NM"
39,2,43,"NEW TOWN, ND"
23,31,42,"AMADO, AZ"
41,27,42,"RALLS, TX"
47,13,42,"NORFOLK, NE"
43,2,42,"HARVEY, ND"
46,5,42,"OAKES, ND"
88,8,42,"SARANAC LAKE, NY"
32,29,42,"WHITE SANDS MISSILE RANGE, NM"
6,5,42,"GLENWOOD, WA"
8,1,42,"BREWSTER, WA"
45,5,42,"ELLENDALE, ND"
24,14,42,"EVANSTON, WY"
20,14,42,"NORTH OF TOOELE, UT"
9,3,42,"MOSES LAKE, WA"
40,30,42,"STANTON, TX"
45,19,42,"GREAT BEND, KS"
3,16,42,"PASKENTA, CA"
47,5,42,"LISBON, ND"
49,16,42,"MARYSVILLE, KS"
92,10,42,"CLAREMONT, NH"
44,11,42,"BASSETT, NE"
47,8,42,"DE SMET, SD"
89,9,42,"LAKE PLACID, NY"
47,14,42,"YORK, NE"
95,8,42,"PORTLAND, ME"
8,16,42,"RENO, NV"
44,21,42,"COLDWATER, KS"
47,19,42,"HUTCHINSON, KS"
45,11,42,"ATKINSON, NE"
45,15,42,"KEARNEY, NE"
93,11,42,"MANCHESTER, NH"
31,29,41,"LAS CRUCES, NM"
10,3,41,"ODESSA, WA"
30,29,41,"HATCH, NM"
30,30,41,"DEMING, NM"
5,15,41,"WHITMORE, CA"
90,12,41,"PITTSFIELD, MA"
23,30,41,"WEST OF TUCSON, AZ"
90,9,41,"MIDDLEBURY, VT"
11,20,41,"NORTH OF BISHOP, CA"
7,5,41,"YAKIMA, WA"
47,18,41,"SALINA, KS"
50,19,41,"EMPORIA, KS"
39,1,41,"STANLEY, ND"
41,1,41,"MINOT, ND"
42,1,41,"TOWNER, ND"
45,10,41,"PLATTE, SD"
24,26,41,"OVERGAARD, AZ"
42,27,41,"SPUR, TX"
33,23,41,"SANTA FE, NM"
46,15,41,"HASTINGS, NE"
45,18,41,"RUSSELL, KS"
46,6,41,"ABERDEEN, SD"
46,19,41,"LYONS, KS"
86,11,41,"ONEIDA, NY"
7,2,41,"WENATCHEE, WA"
5,9,41,"BEND, OR"
43,4,41,"STEELE, ND"
85,14,41,"WILKES BARRE, PA"
48,13,41,"COLUMBUS, NE"
40,29,41,"BIG SPRING, TX"
18,21,41,"NE OF LAS VEGAS, NV"
33,29,41,"ALAMOGORDO, NM"
34,24,41,"LAS VEGAS, NM"
40,2,41,"GARRISON, ND"
26,28,41,"THATCHER, AZ"
6,4,41,"YAKIMA, WA"
41,2,41,"MINOT, ND"
31,28,41,"NORTH OF LAS CRUCES, NM"
43,21,41,"ASHLAND, KS"
43,26,41,"CHILDRESS, TX"
44,4,41,"MEDINA, ND"
40,0,40,"SHERWOOD, ND"
35,16,40,"DENVER, CO"
41,4,40,"MANDAN, ND"
41,29,40,"BIG SPRING, TX"
40,27,40,"LUBBOCK, TX"
42,3,40,"MCCLUSKY, ND"
30,28,40,"TRUTH OR CONSEQUENCES, NM"
4,15,40,"REDDING, CA"
47,15,40,"GENEVA, NE"
47,3,40,"FINLEY, ND"
40,1,40,"MINOT, ND"
25,21,40,"NW OF CHINLE, AZ"
43,20,40,"DODGE CITY, KS"
37,31,40,"PECOS, TX"
25,22,40,"WEST OF CHINLE, AZ"
12,22,40,"KEELER, CA"
91,12,40,"SPRINGFIELD, MA"
44,9,40,"FORT THOMPSON, SD"
44,10,40,"GREGORY, SD"
44,19,40,"RUSH CENTER, KS"
44,20,40,"KINSLEY, KS"
2,14,40,"ORLEANS, CA"
24,21,40,"EAST OF PAGE, AZ"
39,0,40,"BOWBELLS, ND"
36,30,40,"LOVING, NM"
45,8,40,"MILLER, SD"
10,4,40,"OTHELLO, WA"
11,21,40,"BISHOP, CA"
8,4,40,"MATTAWA, WA"
2,13,40,"HAPPY CAMP, CA"
8,3,40,"QUINCY, WA"
7,3,40,"WENATCHEE, WA"
82,12,40,"WELLSVILLE, NY"
49,17,40,"MANHATTAN, KS"
19,14,40,"NW OF TOOELE, UT"
41,22,40,"GUYMON, OK"
19,15,40,"WEST OF TOOELE, UT"
23,15,39,"SALT LAKE CITY, UT"
46,16,39,"SUPERIOR, NE"
9,5,39,"KENNEWICK, WA"
45,16,39,"SMITH CENTER, KS"
50,18,39,"TOPEKA, KS"
23,14,39,"COALVILLE, UT"
43,22,39,"LAVERNE, OK"
43,11,39,"AINSWORTH, NE"
29,29,39,"SILVER CITY, NM"
29,30,39,"DEMING, NM"
42,22,39,"PERRYTON, TX"
3,15,39,"WEAVERVILLE, CA"
21,14,39,"NW OF SALT LAKE CITY, UT"
41,25,39,"CLARENDON, TX"
48,18,39,"ABILENE, KS"
48,16,39,"FAIRBURY, NE"
31,22,39,"CHIMAYO, NM"
41,0,39,"NEWBURG, ND"
40,28,39,"TAHOKA, TX"
92,12,39,"WORCESTER, MA"
39,29,39,"ANDREWS, TX"
32,25,39,"ALBUQUERQUE, NM"
91,11,39,"BRATTLEBORO, VT"
91,9,39,"MONTPELIER, VT"
90,7,39,"WEST CHAZY, NY"
39,3,39,"HALLIDAY, ND"
12,4,39,"PULLMAN, WA"
24,20,39,"ANTIMONY, UT"
89,8,39,"PLATTSBURGH, NY"
33,25,39,"WILLARD, NM"
11,4,39,"WASHTUCNA, WA"
7,7,39,"KENT, OR"
36,24,39,"NW OF CLOVIS, NM"
8,17,39,"RENO, NV"
8,18,39,"SOUTH LAKE TAHOE, CA"
33,16,38,"BLACK HAWK, CO"
38,31,38,"MONAHANS, TX"
12,21,38,"EAST OF BISHOP, CA"
92,8,38,"SAINT JOHNSBURY, VT"
40,3,38,"BEULAH, ND"
14,20,38,"ROUND MOUNTAIN, NV"
4,11,38,"FORT KLAMATH, OR"
35,24,38,"RIBERA, NM"
18,14,38,"NORTH OF WEST WENDOVER, NV"
42,5,38,"FORT YATES, ND"
20,16,38,"SOUTH OF TOOELE, UT"
3,11,38,"WHITE CITY, OR"
29,28,38,"MIMBRES, NM"
23,13,38,"GARDEN CITY, UT"
46,17,38,"BELOIT, KS"
44,13,38,"BROKEN BOW, NE"
50,17,38,"TOPEKA, KS"
10,2,38,"GRAND COULEE, WA"
22,15,38,"SALT LAKE CITY, UT"
45,7,38,"NORTHVILLE, SD"
45,17,38,"OSBORNE, KS"
27,29,38,"NE OF SIERRA VISTA, AZ"
11,3,38,"RITZVILLE, WA"
34,18,38,"COLORADO SPRINGS, CO"
7,4,38,"YAKIMA, WA"
36,14,37,"KIMBALL, NE"
26,14,37,"MANILA, UT"
27,27,37,"RESERVE, NM"
44,18,37,"HAYS, KS"
44,8,37,"HIGHMORE, SD"
43,19,37,"NESS CITY, KS"
43,10,37,"WINNER, SD"
42,26,37,"MATADOR, TX"
42,25,37,"MEMPHIS, TX"
28,19,37,"NORWOOD, CO"
42,6,37,"MOBRIDGE, SD"
42,2,37,"VELVA, ND"
41,3,37,"WASHBURN, ND"
95,7,37,"KINGFIELD, ME"
39,30,37,"MIDLAND, TX"
39,27,37,"LUBBOCK, TX"
90,8,37,"BURLINGTON, VT"
39,4,37,"RICHARDTON, ND"
38,28,37,"DENVER CITY, TX"
38,27,37,"MORTON, TX"
7,8,37,"NE OF BEND, OR"
46,18,37,"ELLSWORTH, KS"
36,29,37,"WEST OF HOBBS, NM"
35,17,37,"AURORA, CO"
34,16,37,"DENVER, CO"
11,2,37,"DAVENPORT, WA"
13,4,37,"PULLMAN, WA"
98,6,37,"BANGOR, ME"
15,4,37,"OROFINO, ID"
17,13,37,"WELLS, NV"
31,26,37,"SOCORRO, NM"
29,27,37,"NE OF SILVER CITY, NM"
24,15,37,"TABIONA, UT"
24,25,37,"SE OF FLAGSTAFF, AZ"
13,3,36,"SPOKANE, WA"
30,26,36,"MAGDALENA, NM"
28,20,36,"DOLORES, CO"
14,1,36,"SANDPOINT, ID"
27,20,36,"PLEASANT VIEW, CO"
39,24,36,"AMARILLO, TX"
33,22,36,"TAOS, NM"
100,4,36,"FORT FAIRFIELD, ME"
39,28,36,"BROWNFIELD, TX"
48,17,36,"CLAY CENTER, KS"
45,6,36,"LEOLA, SD"
14,3,36,"SAINT MARIES, ID"
44,12,36,"WEST OF ONEILL, NE"
100,5,36,"HOULTON, ME"
92,9,36,"HANOVER, NH"
38,24,36,"BOYS RANCH, TX"
42,21,36,"MEADE, KS"
15,2,36,"CLARK FORK, ID"
35,30,36,"SOUTH OF ARTESIA, NM"
15,3,36,"KELLOGG, ID"
37,24,36,"TUCUMCARI, NM"
41,23,36,"SPEARMAN, TX"
30,27,36,"SW OF SOCORRO, NM"
44,6,36,"IPSWICH, SD"
21,22,36,"SE OF SAINT GEORGE, UT"
37,25,36,"CLOVIS, NM"
43,12,36,"JOHNSTOWN, NE"
41,24,36,"PAMPA, TX"
40,20,36,"JOHNSON, KS"
12,1,36,"COLVILLE, WA"
23,12,36,"MONTPELIER, ID"
27,28,36,"CLIFTON, AZ"
40,22,36,"GOODWELL, OK"
38,26,36,"MULESHOE, TX"
38,29,36,"SEMINOLE, TX"
12,2,36,"SPOKANE, WA"
36,25,36,"HOUSE, NM"
41,26,36,"FLOYDADA, TX"
35,8,36,"MOORCROFT, WY"
38,30,36,"KERMIT, TX"
19,22,36,"SOUTH OF SAINT GEORGE, UT"
41,6,36,"MC LAUGHLIN, SD"
41,7,36,"EAGLE BUTTE, SD"
47,17,36,"CONCORDIA, KS"
42,4,36,"BISMARCK, ND"
92,7,36,"NEWPORT, VT"
13,2,36,"SPOKANE, WA"
29,19,35,"MONTROSE, CO"
99,4,35,"CARIBOU, ME"
19,13,35,"PARK VALLEY, UT"
41,21,35,"LIBERAL, KS"
99,3,35,"FORT KENT, ME"
43,5,35,"LINTON, ND"
42,9,35,"MURDO, SD"
42,24,35,"PAMPA, TX"
21,13,35,"TREMONTON, UT"
42,10,35,"MISSION, SD"
42,11,35,"SW OF WINNER, SD"
42,23,35,"CANADIAN, TX"
22,14,35,"OGDEN, UT"
36,7,35,"BELLE FOURCHE, SD"
21,15,35,"GRANTSVILLE, UT"
21,25,35,"PRESCOTT, AZ"
21,21,35,"FREDONIA, AZ"
38,25,35,"FRIONA, TX"
33,17,35,"BAILEY, CO"
12,3,35,"CHENEY, WA"
12,20,35,"DYER, NV"
34,15,35,"FORT COLLINS, CO"
29,18,35,"DELTA, CO"
29,20,35,"RICO, CO"
24,22,35,"SHONTO, AZ"
14,2,35,"COEUR D ALENE, ID"
39,25,35,"AMARILLO, TX"
44,7,35,"FAULKTON, SD"
32,22,35,"ESPANOLA, NM"
14,4,35,"MOSCOW, ID"
23,20,35,"ESCALANTE, UT"
7,6,35,"ARLINGTON, OR"
25,14,35,"LYMAN, WY"
44,5,35,"WISHEK, ND"
18,13,35,"SE OF TWIN FALLS, ID"
43,9,35,"LOWER BRULE, SD"
40,21,35,"ROLLA, KS"
37,2,35,"WILLISTON, ND"
24,16,35,"KENILWORTH, UT"
34,5,35,"EAST OF MILES CITY, MT"
43,6,35,"SELBY, SD"
28,21,35,"CORTEZ, CO"
26,21,35,"MONUMENT VALLEY, UT"
41,8,35,"HAYES, SD"
43,7,34,"GETTYSBURG, SD"
36,26,34,"FORT SUMNER, NM"
36,27,34,"NE OF ROSWELL, NM"
34,23,34,"MORA, NM"
37,0,34,"CROSBY, ND"
28,29,34,"LORDSBURG, NM"
37,23,34,"SW OF DALHART, TX"
28,28,34,"SILVER CITY, NM"
37,30,34,"JAL, NM"
6,15,34,"WESTWOOD, CA"
38,22,34,"DALHART, TX"
39,5,34,"MOTT, ND"
39,23,34,"HARTLEY, TX"
39,26,34,"LITTLEFIELD, TX"
14,19,34,"TONOPAH, NV"
3,14,34,"TRINITY CENTER, CA"
4,14,34,"MCCLOUD, CA"
25,15,34,"ROOSEVELT, UT"
18,11,34,"JEROME, ID"
40,23,34,"DUMAS, TX"
40,24,34,"AMARILLO, TX"
40,25,34,"AMARILLO, TX"
31,27,34,"SAN ANTONIO, NM"
31,25,34,"ALBUQUERQUE, NM"
40,26,34,"PLAINVIEW, TX"
41,5,34,"SELFRIDGE, ND"
41,10,34,"WEST OF MISSION, SD"
41,20,34,"ULYSSES, KS"
20,23,34,"NE OF LAKE HAVASU CITY, AZ"
30,25,34,"WEST OF ALBUQUERQUE, NM"
42,20,34,"CIMARRON, KS"
30,23,34,"NW OF ALBUQUERQUE, NM"
30,20,34,"SILVERTON, CO"
30,19,34,"GUNNISON, CO"
3,12,34,"MEDFORD, OR"
22,17,34,"GUNNISON, UT"
22,23,34,"GRAND CANYON, AZ"
44,17,34,"PLAINVILLE, KS"
36,23,34,"ROY, NM"
37,27,34,"ROGERS, NM"
26,15,34,"VERNAL, UT"
28,6,34,"BILLINGS, MT"
35,4,34,"SOUTH OF GLENDIVE, MT"
36,8,34,"SPEARFISH, SD"
8,7,34,"CONDON, OR"
42,7,33,"NW OF PIERRE, SD"
25,24,33,"KAYENTA, AZ"
29,12,33,"SE OF LANDER, WY"
18,16,33,"NE OF ELY, NV"
43,8,33,"PIERRE, SD"
18,15,33,"WEST WENDOVER, NV"
18,12,33,"HANSEN, ID"
28,18,33,"GRAND JUNCTION, CO"
43,13,33,"ARNOLD, NE"
43,14,33,"COZAD, NE"
25,20,33,"MEXICAN HAT, UT"
4,12,33,"KENO, OR"
25,25,33,"SHOW LOW, AZ"
40,4,33,"GLEN ULLIN, ND"
28,27,33,"QUEMADO, NM"
39,22,33,"STRATFORD, TX"
37,29,33,"HOBBS, NM"
23,21,33,"PAGE, AZ"
38,23,33,"NW OF AMARILLO, TX"
44,15,33,"HOLDREGE, NE"
35,7,33,"NW OF SPEARFISH, SD"
3,13,33,"MOUNT SHASTA, CA"
27,21,33,"MONTEZUMA CREEK, UT"
38,4,33,"DICKINSON, ND"
10,5,33,"PASCO, WA"
36,28,33,"NW OF HOBBS, NM"
38,3,33,"KILLDEER, ND"
26,27,33,"SE OF SHOW LOW, AZ"
11,19,33,"MINA, NV"
38,1,33,"TIOGA, ND"
37,26,33,"CLOVIS, NM"
36,17,33,"BYERS, CO"
15,5,33,"KAMIAH, ID"
37,8,33,"STURGIS, SD"
37,6,33,"CAMP CROOK, SD"
25,27,33,"WHITERIVER, AZ"
21,16,33,"VERNON, UT"
30,21,33,"PAGOSA SPRINGS, CO"
25,26,33,"SHOW LOW, AZ"
22,13,33,"LOGAN, UT"
31,19,33,"SOUTH OF GUNNISON, CO"
42,12,33,"THEDFORD, NE"
35,22,33,"RATON, NM"
22,20,33,"TROPIC, UT"
37,3,33,"NW OF DICKINSON, ND"
22,25,33,"PRESCOTT, AZ"
20,25,33,"BAGDAD, AZ"
9,19,32,"BRIDGEPORT, CA"
44,14,32,"LEXINGTON, NE"
43,18,32,"WA KEENEY, KS"
43,17,32,"HILL CITY, KS"
39,6,32,"LEMMON, SD"
38,8,32,"UNION CENTER, SD"
38,6,32,"PRAIRIE CITY, SD"
38,2,32,"EAST OF WILLISTON, ND"
37,28,32,"TATUM, NM"
42,8,32,"FORT PIERRE, SD"
37,5,32,"RHAME, ND"
37,4,32,"MEDORA, ND"
36,6,32,"BUFFALO, SD"
36,4,32,"BEACH, ND"
36,3,32,"SW OF WILLISTON, ND"
36,2,32,"FAIRVIEW, MT"
35,23,32,"WAGON MOUND, NM"
35,18,32,"COLORADO SPRINGS, CO"
35,9,32,"NEWCASTLE, WY"
35,6,32,"EKALAKA, MT"
35,5,32,"PLEVNA, MT"
35,2,32,"CULBERTSON, MT"
34,9,32,"SE OF GILLETTE, WY"
34,8,32,"WESTON, WY"
33,15,32,"FORT COLLINS, CO"
32,14,32,"JELM, WY"
31,16,32,"YAMPA, CO"
31,13,32,"RAWLINS, WY"
30,24,32,"NW OF ALBUQUERQUE, NM"
29,26,32,"SOUTH OF GRANTS, NM"
29,21,32,"FARMINGTON, NM"
28,9,32,"THERMOPOLIS, WY"
28,8,32,"LOVELL, WY"
26,20,32,"BLANDING, UT"
25,19,32,"SW OF MOAB, UT"
25,18,32,"GREEN RIVER, UT"
23,23,32,"FLAGSTAFF, AZ"
23,19,32,"LOA, UT"
23,17,32,"EPHRAIM, UT"
23,16,32,"PROVO, UT"
22,22,32,"NW OF FLAGSTAFF, AZ"
21,23,32,"WILLIAMS, AZ"
20,24,32,"SELIGMAN, AZ"
19,16,32,"SW OF TOOELE, UT"
13,21,32,"NORTH OF BISHOP, CA"
13,20,32,"SW OF TONOPAH, NV"
13,18,32,"NW OF TONOPAH, NV"
13,5,32,"LEWISTON, ID"
9,6,32,"HERMISTON, OR"
8,6,32,"BOARDMAN, OR"
8,5,32,"SUNNYSIDE, WA"
34,6,31,"SE OF MILES CITY, MT"
41,12,31,"MULLEN, NE"
22,16,31,"PAYSON, UT"
38,21,31,"SPRINGFIELD, CO"
14,5,31,"CULDESAC, ID"
10,6,31,"PENDLETON, OR"
41,11,31,"CODY, NE"
16,14,31,"ELKO, NV"
26,19,31,"SOUTH OF MOAB, UT"
27,9,31,"MEETEETSE, WY"
22,21,31,"KANAB, UT"
42,13,31,"STAPLETON, NE"
94,9,31,"WOLFEBORO, NH"
38,7,31,"NE OF STURGIS, SD"
93,9,31,"LEBANON, NH"
35,3,31,"GLENDIVE, MT"
38,5,31,"HETTINGER, ND"
27,6,31,"COLUMBUS, MT"
35,19,31,"PUEBLO, CO"
36,5,31,"BAKER, MT"
40,7,31,"DUPREE, SD"
36,22,31,"SE OF TRINIDAD, CO"
22,24,31,"FLAGSTAFF, AZ"
40,5,31,"ELGIN, ND"
17,11,31,"BUHL, ID"
29,11,31,"EAST OF LANDER, WY"
33,19,31,"CANON CITY, CO"
26,26,31,"PINETOP, AZ"
41,13,31,"TRYON, NE"
21,24,31,"WEST OF FLAGSTAFF, AZ"
24,18,31,"SOUTH OF PRICE, UT"
17,14,31,"EAST OF ELKO, NV"
28,10,31,"PAVILLION, WY"
23,22,31,"NORTH OF FLAGSTAFF, AZ"
28,12,31,"NE OF ROCK SPRINGS, WY"
37,7,31,"NE OF SPEARFISH, SD"
11,5,31,"WALLA WALLA, WA"
34,19,31,"FLORENCE, CO"
34,4,31,"TERRY, MT"
16,4,31,"EAST OF OROFINO, ID"
19,11,31,"RUPERT, ID"
27,19,31,"MONTICELLO, UT"
44,16,30,"PHILLIPSBURG, KS"
24,13,30,"DIAMONDVILLE, WY"
23,25,30,"SEDONA, AZ"
37,22,30,"CLAYTON, NM"
13,19,30,"WEST OF TONOPAH, NV"
42,19,30,"GARDEN CITY, KS"
13,6,30,"ENTERPRISE, OR"
43,15,30,"ELWOOD, NE"
17,10,30,"FAIRFIELD, ID"
33,5,30,"MILES CITY, MT"
16,12,30,"WEST OF TWIN FALLS, ID"
12,19,30,"NORTH OF DYER, NV"
41,9,30,"KADOKA, SD"
30,22,30,"EAST OF FARMINGTON, NM"
34,1,30,"WOLF POINT, MT"
34,2,30,"POPLAR, MT"
28,11,30,"LANDER, WY"
18,10,30,"HAILEY, ID"
34,7,30,"BROADUS, MT"
10,19,30,"NORTH OF MAMMOTH LAKES, CA"
27,15,30,"JENSEN, UT"
4,10,30,"SE OF EUGENE, OR"
25,13,30,"OPAL, WY"
17,12,30,"TWIN FALLS, ID"
24,17,30,"PRICE, UT"
35,14,30,"CHEYENNE, WY"
28,30,30,"RODEO, NM"
24,23,30,"EAST OF FLAGSTAFF, AZ"
36,16,30,"WIGGINS, CO"
36,18,30,"YODER, CO"
24,19,30,"HANKSVILLE, UT"
40,6,30,"ISABEL, SD"
19,10,29,"NE OF JEROME, ID"
31,17,29,"ASPEN, CO"
18,20,29,"NW OF SAINT GEORGE, UT"
32,1,29,"GLASGOW, MT"
27,24,29,"SANDERS, AZ"
27,25,29,"ZUNI, NM"
27,10,29,"RIVERTON, WY"
28,13,29,"POINT OF ROCKS, WY"
27,18,29,"GATEWAY, CO"
25,23,29,"PINON, AZ"
25,12,29,"KEMMERER, WY"
24,24,29,"EAST OF FLAGSTAFF, AZ"
29,9,29,"WORLAND, WY"
6,9,29,"BEND, OR"
29,10,29,"SHOSHONI, WY"
29,13,29,"WAMSUTTER, WY"
37,9,29,"RAPID CITY, SD"
23,2,29,"GREAT FALLS, MT"
23,18,29,"EMERY, UT"
36,9,29,"WEST OF RAPID CITY, SD"
9,7,29,"HEPPNER, OR"
35,15,29,"GREELEY, CO"
26,24,29,"GANADO, AZ"
30,13,29,"WEST OF RAWLINS, WY"
34,3,29,"RICHEY, MT"
26,22,29,"CHINLE, AZ"
12,5,29,"POMEROY, WA"
12,6,29,"ELGIN, OR"
30,18,29,"PAONIA, CO"
33,3,29,"CIRCLE, MT"
33,2,29,"VIDA, MT"
20,22,29,"SE OF SAINT GEORGE, UT"
15,6,29,"GRANGEVILLE, ID"
26,18,29,"MOAB, UT"
16,2,29,"THOMPSON FALLS, MT"
16,5,29,"SE OF OROFINO, ID"
16,11,29,"MOUNTAIN HOME A F B, ID"
17,5,29,"SW OF MISSOULA, MT"
31,14,29,"ENCAMPMENT, WY"
10,18,28,"HAWTHORNE, NV"
25,3,28,"STANFORD, MT"
32,5,28,"WEST OF MILES CITY, MT"
26,25,28,"NE OF SHOW LOW, AZ"
32,15,28,"WALDEN, CO"
93,8,28,"LITTLETON, NH"
34,22,28,"ANGEL FIRE, NM"
30,7,28,"LODGE GRASS, MT"
30,8,28,"HYATTVILLE, WY"
25,16,28,"DUCHESNE, UT"
34,14,28,"WELLINGTON, CO"
10,7,28,"SE OF HERMISTON, OR"
27,2,28,"NORTH OF LEWISTOWN, MT"
16,10,28,"EAST OF BOISE, ID"
22,12,28,"PRESTON, ID"
27,26,28,"EAGAR, AZ"
41,14,28,"SUTHERLAND, NE"
27,14,28,"MC KINNON, WY"
11,7,28,"LA GRANDE, OR"
26,2,28,"NW OF LEWISTOWN, MT"
18,9,28,"KETCHUM, ID"
26,3,28,"WINIFRED, MT"
42,14,28,"NORTH PLATTE, NE"
27,12,28,"NORTH OF ROCK SPRINGS, WY"
30,17,28,"GLENWOOD SPRINGS, CO"
31,1,28,"HINSDALE, MT"
12,7,28,"UNION, OR"
12,18,28,"SE OF FALLON, NV"
27,11,28,"FORT WASHAKIE, WY"
27,8,28,"POWELL, WY"
28,7,28,"COWLEY, WY"
26,16,28,"VERNAL, UT"
26,17,28,"SOUTH OF VERNAL, UT"
21,2,28,"CHOTEAU, MT"
16,16,28,"NW OF ELY, NV"
19,12,28,"BURLEY, ID"
31,18,28,"GUNNISON, CO"
32,2,28,"FORT PECK, MT"
17,9,28,"SUN VALLEY, ID"
32,3,28,"WEST OF CIRCLE, MT"
14,18,28,"MANHATTAN, NV"
20,13,28,"GROUSE CREEK, UT"
23,24,28,"FLAGSTAFF, AZ"
29,17,28,"RIFLE, CO"
29,8,28,"GREYBULL, WY"
15,13,28,"OWYHEE, NV"
29,7,28,"YELLOWTAIL, MT"
29,6,28,"LAUREL, MT"
39,21,28,"WALSH, CO"
36,15,28,"FORT MORGAN, CO"
19,9,28,"MOORE, ID"
33,7,27,"RECLUSE, WY"
15,10,27,"BOISE, ID"
40,8,27,"MIDLAND, SD"
35,10,27,"LANCE CREEK, WY"
37,17,27,"LIMON, CO"
28,5,27,"BILLINGS, MT"
13,17,27,"SOUTH OF BATTLE MOUNTAIN, NV"
32,17,27,"VAIL, CO"
37,16,27,"BRUSH, CO"
40,13,27,"ARTHUR, NE"
19,8,27,"SW OF DILLON, MT"
4,13,27,"YREKA, CA"
26,7,27,"COOKE CITY, MT"
38,9,27,"NEW UNDERWOOD, SD"
25,17,27,"EAST CARBON, UT"
41,19,27,"SCOTT CITY, KS"
5,12,27,"KLAMATH FALLS, OR"
