Job Type,Gender,Percent Gender,Percent Total
Entry,Male,54,53
Entry,Female,46,53
Manager,Male,63,28
Manager,Female,37,28
Senior Manager,Male,67,12
Senior Manager,Female,33,12
Vice President,Male,71,5
Vice President,Female,29,5
Senior VP,Male,76,2
Senior VP,Female,24,2
C-Suit,Male,81,1
C-Suit,Female,19,1
