date,industry,unemployments
2/1/2005,Leisure and hospitality,1008
3/1/2005,Leisure and hospitality,967
4/1/2005,Leisure and hospitality,882
5/1/2005,Leisure and hospitality,944
6/1/2005,Leisure and hospitality,950
7/1/2005,Leisure and hospitality,929
8/1/2005,Leisure and hospitality,844
9/1/2005,Leisure and hospitality,842
10/1/2005,Leisure and hospitality,796
11/1/2005,Leisure and hospitality,966
12/1/2005,Leisure and hospitality,930
1/1/2006,Leisure and hospitality,910
2/1/2006,Leisure and hospitality,1040
3/1/2006,Leisure and hospitality,917
4/1/2006,Leisure and hospitality,882
5/1/2006,Leisure and hospitality,830
6/1/2006,Leisure and hospitality,942
7/1/2006,Leisure and hospitality,867
8/1/2006,Leisure and hospitality,855
9/1/2006,Leisure and hospitality,810
10/1/2006,Leisure and hospitality,795
11/1/2006,Leisure and hospitality,836
12/1/2006,Leisure and hospitality,701
1/1/2007,Leisure and hospitality,911
2/1/2007,Leisure and hospitality,879
3/1/2007,Leisure and hospitality,845
4/1/2007,Leisure and hospitality,822
5/1/2007,Leisure and hospitality,831
6/1/2007,Leisure and hospitality,917
7/1/2007,Leisure and hospitality,920
8/1/2007,Leisure and hospitality,877
9/1/2007,Leisure and hospitality,892
10/1/2007,Leisure and hospitality,911
11/1/2007,Leisure and hospitality,986
12/1/2007,Leisure and hospitality,961
1/1/2008,Leisure and hospitality,1176
2/1/2008,Leisure and hospitality,1056
3/1/2008,Leisure and hospitality,944
4/1/2008,Leisure and hospitality,874
5/1/2008,Leisure and hospitality,1074
6/1/2008,Leisure and hospitality,1154
7/1/2008,Leisure and hospitality,1172
8/1/2008,Leisure and hospitality,1122
9/1/2008,Leisure and hospitality,1029
10/1/2008,Leisure and hospitality,1126
11/1/2008,Leisure and hospitality,1283
12/1/2008,Leisure and hospitality,1210
1/1/2009,Leisure and hospitality,1487
2/1/2009,Leisure and hospitality,1477
3/1/2009,Leisure and hospitality,1484
4/1/2009,Leisure and hospitality,1322
5/1/2009,Leisure and hospitality,1599
6/1/2009,Leisure and hospitality,1688
7/1/2009,Leisure and hospitality,1600
8/1/2009,Leisure and hospitality,1636
9/1/2009,Leisure and hospitality,1469
10/1/2009,Leisure and hospitality,1604
11/1/2009,Leisure and hospitality,1524
12/1/2009,Leisure and hospitality,1624
1/1/2010,Leisure and hospitality,1804
2/1/2010,Leisure and hospitality,1597
1/1/2000,Business services,655
2/1/2000,Business services,587
3/1/2000,Business services,623
4/1/2000,Business services,517
5/1/2000,Business services,561
6/1/2000,Business services,545
7/1/2000,Business services,636
8/1/2000,Business services,584
9/1/2000,Business services,559
10/1/2000,Business services,504
11/1/2000,Business services,547
12/1/2000,Business services,564
1/1/2001,Business services,734
2/1/2001,Business services,724
3/1/2001,Business services,652
4/1/2001,Business services,655
5/1/2001,Business services,652
6/1/2001,Business services,694
7/1/2001,Business services,731
8/1/2001,Business services,790
9/1/2001,Business services,810
10/1/2001,Business services,910
11/1/2001,Business services,946
12/1/2001,Business services,921
1/1/2002,Business services,1120
2/1/2002,Business services,973
3/1/2002,Business services,964
4/1/2002,Business services,951
5/1/2002,Business services,983
6/1/2002,Business services,1079
7/1/2002,Business services,1075
8/1/2002,Business services,926
9/1/2002,Business services,1007
10/1/2002,Business services,962
11/1/2002,Business services,1029
12/1/2002,Business services,1038
1/1/2003,Business services,1112
2/1/2003,Business services,1140
3/1/2003,Business services,1190
4/1/2003,Business services,1076
5/1/2003,Business services,1105
6/1/2003,Business services,1092
7/1/2003,Business services,1021
8/1/2003,Business services,881
9/1/2003,Business services,975
10/1/2003,Business services,1014
11/1/2003,Business services,948
12/1/2003,Business services,948
1/1/2004,Business services,1070
2/1/2004,Business services,964
3/1/2004,Business services,999
4/1/2004,Business services,752
5/1/2004,Business services,819
6/1/2004,Business services,814
7/1/2004,Business services,790
8/1/2004,Business services,845
9/1/2004,Business services,750
10/1/2004,Business services,781
11/1/2004,Business services,872
12/1/2004,Business services,875
1/1/2005,Business services,958
2/1/2005,Business services,916
3/1/2005,Business services,807
4/1/2005,Business services,714
5/1/2005,Business services,730
6/1/2005,Business services,743
7/1/2005,Business services,804
8/1/2005,Business services,728
9/1/2005,Business services,862
10/1/2005,Business services,748
11/1/2005,Business services,711
12/1/2005,Business services,788
1/1/2006,Business services,825
2/1/2006,Business services,841
3/1/2006,Business services,824
4/1/2006,Business services,644
5/1/2006,Business services,695
6/1/2006,Business services,753
7/1/2006,Business services,735
8/1/2006,Business services,681
9/1/2006,Business services,736
10/1/2006,Business services,768
11/1/2006,Business services,658
12/1/2006,Business services,791
1/1/2007,Business services,885
2/1/2007,Business services,825
3/1/2007,Business services,775
4/1/2007,Business services,689
5/1/2007,Business services,743
6/1/2007,Business services,722
7/1/2007,Business services,743
8/1/2007,Business services,683
9/1/2007,Business services,655
10/1/2007,Business services,675
11/1/2007,Business services,679
12/1/2007,Business services,803
1/1/2008,Business services,893
2/1/2008,Business services,866
3/1/2008,Business services,876
4/1/2008,Business services,736
5/1/2008,Business services,829
6/1/2008,Business services,890
7/1/2008,Business services,866
8/1/2008,Business services,961
9/1/2008,Business services,951
10/1/2008,Business services,1052
11/1/2008,Business services,992
12/1/2008,Business services,1147
1/1/2009,Business services,1445
2/1/2009,Business services,1512
3/1/2009,Business services,1597
4/1/2009,Business services,1448
5/1/2009,Business services,1514
6/1/2009,Business services,1580
7/1/2009,Business services,1531
8/1/2009,Business services,1560
9/1/2009,Business services,1596
10/1/2009,Business services,1488
11/1/2009,Business services,1514
12/1/2009,Business services,1486
1/1/2010,Business services,1614
2/1/2010,Business services,1740
1/1/2000,Construction,745
2/1/2000,Construction,812
3/1/2000,Construction,669
4/1/2000,Construction,447
5/1/2000,Construction,397
6/1/2000,Construction,389
7/1/2000,Construction,384
8/1/2000,Construction,446
9/1/2000,Construction,386
10/1/2000,Construction,417
11/1/2000,Construction,482
12/1/2000,Construction,580
1/1/2001,Construction,836
2/1/2001,Construction,826
3/1/2001,Construction,683
4/1/2001,Construction,596
5/1/2001,Construction,478
6/1/2001,Construction,443
7/1/2001,Construction,447
8/1/2001,Construction,522
9/1/2001,Construction,489
10/1/2001,Construction,535
11/1/2001,Construction,670
12/1/2001,Construction,785
1/1/2002,Construction,1211
2/1/2002,Construction,1060
3/1/2002,Construction,1009
4/1/2002,Construction,855
5/1/2002,Construction,626
6/1/2002,Construction,593
7/1/2002,Construction,594
8/1/2002,Construction,654
9/1/2002,Construction,615
10/1/2002,Construction,680
11/1/2002,Construction,758
12/1/2002,Construction,941
1/1/2003,Construction,1196
2/1/2003,Construction,1173
3/1/2003,Construction,987
4/1/2003,Construction,772
5/1/2003,Construction,715
6/1/2003,Construction,710
7/1/2003,Construction,677
8/1/2003,Construction,650
9/1/2003,Construction,681
10/1/2003,Construction,651
11/1/2003,Construction,690
12/1/2003,Construction,813
1/1/2004,Construction,994
2/1/2004,Construction,1039
3/1/2004,Construction,1011
4/1/2004,Construction,849
5/1/2004,Construction,665
6/1/2004,Construction,668
7/1/2004,Construction,610
8/1/2004,Construction,563
9/1/2004,Construction,629
10/1/2004,Construction,635
11/1/2004,Construction,695
12/1/2004,Construction,870
1/1/2005,Construction,1079
2/1/2005,Construction,1150
3/1/2005,Construction,961
4/1/2005,Construction,693
5/1/2005,Construction,567
6/1/2005,Construction,559
7/1/2005,Construction,509
8/1/2005,Construction,561
9/1/2005,Construction,572
10/1/2005,Construction,519
11/1/2005,Construction,564
12/1/2005,Construction,813
1/1/2006,Construction,868
2/1/2006,Construction,836
3/1/2006,Construction,820
4/1/2006,Construction,674
5/1/2006,Construction,647
6/1/2006,Construction,569
7/1/2006,Construction,633
8/1/2006,Construction,618
9/1/2006,Construction,586
10/1/2006,Construction,456
11/1/2006,Construction,618
12/1/2006,Construction,725
1/1/2007,Construction,922
2/1/2007,Construction,1086
3/1/2007,Construction,924
4/1/2007,Construction,853
5/1/2007,Construction,676
6/1/2007,Construction,600
7/1/2007,Construction,617
8/1/2007,Construction,558
9/1/2007,Construction,596
10/1/2007,Construction,641
11/1/2007,Construction,645
12/1/2007,Construction,968
1/1/2008,Construction,1099
2/1/2008,Construction,1118
3/1/2008,Construction,1170
4/1/2008,Construction,1057
5/1/2008,Construction,809
6/1/2008,Construction,785
7/1/2008,Construction,783
8/1/2008,Construction,814
9/1/2008,Construction,970
10/1/2008,Construction,1078
11/1/2008,Construction,1237
12/1/2008,Construction,1438
1/1/2009,Construction,1744
2/1/2009,Construction,2025
3/1/2009,Construction,1979
4/1/2009,Construction,1737
5/1/2009,Construction,1768
6/1/2009,Construction,1601
7/1/2009,Construction,1687
8/1/2009,Construction,1542
9/1/2009,Construction,1594
10/1/2009,Construction,1744
11/1/2009,Construction,1780
12/1/2009,Construction,2044
1/1/2010,Construction,2194
2/1/2010,Construction,2440
