Topic,Republican,Democrat,Comparison
Thoughts & Prayers,199,114,Mentioned more by Republicans
Condemned terrorism,146,89,Mentioned more by Republicans
Used phrases similar to radical Islam,80,3,Mentioned more by Republicans
Praised first responders,68,46,Mentioned more by Republicans
Criticized Obama administration,12,0,Mentioned more by Republicans
Stated support for gun rights,9,0,Mentioned more by Republicans
Addressed LGBT community,19,123,Mentioned more by Democrats
Mentioned hate,24,94,Mentioned more by Democrats
Advanced gun control,0,79,Mentioned more by Democrats
